tradingsymbol,name,instrument_type,segment
SURYAROSNI,SURYA ROSHNI,EQ,NSE
SWARAJENG,SWARAJ ENGINES,EQ,NSE
SMLMAH,SML MAHINDRA,EQ,NSE
AGARIND,AGARWAL INDS CORP,EQ,NSE
TAINWALCHM,TAINWALA CHEMICAL AND PLA,EQ,NSE
AJOONI,AJOONI BIOTECH,EQ,NSE
TATACHEM,TATA CHEMICALS,EQ,NSE
TATAELXSI,TATA ELXSI,EQ,NSE
HONAUT,HONEYWELL AUTOMATION IND,EQ,NSE
TATAPOWER,TATA POWER CO,EQ,NSE
TATACONSUM,TATA CONSUMER PRODUCT,EQ,NSE
BBOX,BLACK BOX,EQ,NSE
TECILCHEM,TECIL CHEMICALS,EQ,NSE
TMPV,TATA MOTORS PASS VEH,EQ,NSE
TFCILTD,TOURISM FINANCE CORP. OF,EQ,NSE
THERMAX,THERMAX,EQ,NSE
THOMASCOOK,THOMAS COOK (INDIA),EQ,NSE
CLSEL,CHAMAN LAL SETIA EXP,EQ,NSE
TIRUMALCHM,THIRUMALAI CHEMICALS,EQ,NSE
TATASTEEL,TATA STEEL,EQ,NSE
TITAN,TITAN COMPANY,EQ,NSE
MAFANG,MIRAE ASSET NYSE FANG+ ETF,EQ,NSE
TNPETRO,TAMILNADU PETROPRODUCTS L,EQ,NSE
TNTELE,TAMILNADU TELECOMMUNICATI,EQ,NSE
TORNTPHARM,TORRENT PHARMACEUTICALS L,EQ,NSE
AXISBPSETF,AXIS NIFTY AAA BOND PLUS SDL APR 2026 50-50 ETF,EQ,NSE
TTKPRESTIG,TTK PRESTIGE,EQ,NSE
ADANIGREEN,ADANI GREEN ENERGY,EQ,NSE
UCAL,UCAL,EQ,NSE
UNICHEMLAB,UNICHEM LABORATORIES,EQ,NSE
MOKSH,MOKSH ORNAMENTS,EQ,NSE
UNITECH,UNITECH,EQ,NSE
UNIVCABLES,UNIVERSAL CABLES,EQ,NSE
AXISHCETF,AXIS NIFTY HEALTHCARE ETF,EQ,NSE
HEALTHIETF,ICICI PRUDENTIAL NIFTY HEALTHCARE ETF,EQ,NSE
JUBLPHARMA,JUBILANT PHARMOVA,EQ,NSE
SOLARA,SOLARA ACTIVE PHA SCI,EQ,NSE
VESUVIUS,VESUVIUS INDIA,EQ,NSE
GAYAHWS,GAYATRI HIGHWAYS,EQ,NSE
VINDHYATEL,VINDHYA TELELINKS,EQ,NSE
VIPIND,VIP INDUSTRIES,EQ,NSE
VLSFINANCE,VLS FINANCE,EQ,NSE
VOLTAS,VOLTAS,EQ,NSE
TATACOMM,TATA COMMUNICATIONS,EQ,NSE
VSTIND,VST INDUSTRIES,EQ,NSE
ANMOL,ANMOL INDIA,EQ,NSE
WALCHANNAG,WALCHANDNAGAR INDUSTRIES,EQ,NSE
FINEORG,FINE ORGANIC IND.,EQ,NSE
WEIZMANIND,WEIZMANN,EQ,NSE
VENKEYS,VENKY S (INDIA),EQ,NSE
RITES,RITES,EQ,NSE
WHEELS,WHEELS INDIA,EQ,NSE
WILLAMAGOR,WILLIAMSON MAGOR,EQ,NSE
WIPRO,WIPRO,EQ,NSE
WSTCSTPAPR,WEST COAST PAPER MILLS LT,EQ,NSE
VINEETLAB,VINEET LABORATORIES,EQ,NSE
ZEEL,ZEE ENTERTAINMENT ENT,EQ,NSE
ARIHANTCAP,ARIHANT CAPITAL MKTS,EQ,NSE
ZODIACLOTH,ZODIAC CLOTHING CO.,EQ,NSE
ZUARIIND,ZUARI INDUSTRIES,EQ,NSE
BHARATRAS,BHARAT RASAYAN,EQ,NSE
TOKYOPLAST,TOKYO PLAST INTL,EQ,NSE
VARROC,VARROC ENGINEERING,EQ,NSE
SOMANYCERA,SOMANY CERAMICS,EQ,NSE
HATSUN,HATSUN AGRO PRODUCT,EQ,NSE
CAPLIPOINT,CAPLIN POINT LAB,EQ,NSE
PREMIERPOL,PREMIER POLYFILM,EQ,NSE
KHAITANLTD,KHAITAN (INDIA)LTD.,EQ,NSE
NATCOPHARM,NATCO PHARMA,EQ,NSE
GOCLCORP,GOCL CORPORATION,EQ,NSE
REMSONSIND,REMSONS INDUSTRIES,EQ,NSE
TNPL,TAMILNADU NEWSPRT & PAPER,EQ,NSE
GREENPLY,GREENPLY INDUSTRIES,EQ,NSE
CORALFINAC,CORAL INDIA FIN & HOUS LT,EQ,NSE
PVP,PVP VENTURES,EQ,NSE
NAVA,NAVA,EQ,NSE
EIMCOELECO,EIMCO ELECON (INDIA),EQ,NSE
JAYAGROGN,JAYANT AGRO ORGANICS,EQ,NSE
PANACEABIO,PANACEA BIOTEC,EQ,NSE
CUBEXTUB,CUBEX TUBINGS,EQ,NSE
MARICO,MARICO,EQ,NSE
SILINV,SIL INVESTMENTS,EQ,NSE
HBSL,HB STOCKHOLDINGS,EQ,NSE
